Symbol,Buy_price,Net_wealth,Profit_ratio,Name,Sector
FTI,23.3700008392334,-6.719999313354506,-28.754809893173032,TechnipFMC,Energy
FTNT,84.19999694824219,51.6499938964844,61.342037729803835,Fortinet,Information Technology
FTV,82.58000183105469,-13.080005645751939,-15.839192729144658,Fortive Corp,Industrials
F,8.890000343322754,0.8000001907348633,8.998876938578979,Ford Motor Company,Consumer Discretionary
GD,175.49000549316406,-21.439971923828097,-12.217203973284539,General Dynamics,Industrials
GE,10.489999771118164,-0.6300010681152326,-6.005730046341828,General Electric,Industrials
GILD,67.56999969482422,-4.9700012207030895,-7.35533704772798,Gilead Sciences,Health Care
GIS,53.16999816894531,-4.949996948242173,-9.30975572448541,General Mills,Consumer Staples
GLW,34.700000762939446,-11.099998474121083,-31.98846752181108,Corning Inc.,Information Technology
GL,85.33999633789062,-10.17999267578125,-11.928747495459374,Globe Life Inc.,Financials
GM,40.04999923706055,-3.700000762939464,-9.238454016038137,General Motors,Consumer Discretionary
GOOGL,1147.5,397.9000244140625,34.6753833912037,Alphabet Inc. (Class A),Communication Services
GOOG,1147.3399658203125,393.8199462890625,34.324608051763754,Alphabet Inc. (Class C),Communication Services
GPC,103.27999877929688,1.8700027465820312,1.8106146094928937,Genuine Parts,Consumer Discretionary
GPN,167.19000244140625,35.77000427246094,21.394822507402598,Global Payments Inc.,Information Technology
GPS,26.40999984741211,-7.650003433227543,-28.966313810778605,Gap Inc.,Consumer Discretionary
GRMN,81.7300033569336,9.64999389648439,11.807161996972718,Garmin Ltd.,Consumer Discretionary
GS,203.6300048828125,-11.720001220703097,-5.755537464848497,Goldman Sachs Group,Financials
GWW,318.8999938964844,23.05996704101551,7.231096733260153,Grainger (W.W.) Inc.,Industrials
HAL,31.32999992370605,-5.469998359680172,-17.459298988192025,Halliburton Co.,Energy
HAS,90.56999969482422,-19.86998748779297,-21.938818101738907,Hasbro Inc.,Consumer Discretionary
HBAN,13.960000038146973,-1.9899997711181623,-14.255012648139731,Huntington Bancshares,Financials
HBI,17.129999160766598,-0.3100004196166992,-1.809693139546109,Hanesbrands Inc,Consumer Discretionary
HCA,127.62999725341795,-10.930000305175767,-8.563817707739595,HCA Healthcare,Health Care
HD,190.0,9.27000427246088,4.8789496170846745,Home Depot,Consumer Discretionary
HES,65.76000213623047,-29.199989318847614,-44.40387525893932,Hess Corporation,Energy
HFC,46.41999816894531,-1.4799995422363246,-3.188280053027738,HollyFrontier Corp,Energy
HIG,61.70000076293945,-2.6500015258789062,-4.294978108769568,Hartford Financial Svc.Gp.,Financials
HII,214.47999572753903,-12.549987792968722,-5.851355857406572,Huntington Ingalls Industries,Industrials
HLT,96.04000091552734,-5.290008544921847,-5.5081304607386565,Hilton Worldwide Holdings Inc,Consumer Discretionary
HOLX,48.25,9.51999664306642,19.730562990811233,Hologic,Health Care
HON,167.41000366210938,-24.699996948242188,-14.754194138896995,Honeywell Int'l Inc.,Industrials
HPE,16.325000762939453,-1.4700002670288086,-9.004595395584673,Hewlett Packard Enterprise,Information Technology
HPQ,19.790000915527344,-4.109999656677244,-20.768061983526824,HP Inc.,Information Technology
HRB,25.10000038146973,0.14000129699706676,0.557774083144731,H&R Block,Consumer Discretionary
HRL,44.15999984741211,-4.119998931884766,-9.329707758425657,Hormel Foods Corp.,Consumer Staples
HSIC,63.0,9.040000915527358,14.349207802424377,Henry Schein,Health Care
HST,19.90999984741211,-2.3400020599365288,-11.752898432295472,Host Hotels & Resorts,Real Estate
HSY,158.4499969482422,-26.509994506835938,-16.7308267702242,The Hershey Company,Consumer Staples
HUM,254.0399932861328,56.11997985839841,22.09100194518932,Humana Inc.,Health Care
IBM,140.14999389648438,-26.910003662109375,-19.200859674660613,International Business Machines,Information Technology
ICE,77.56999969482422,27.100006103515625,34.93619467594744,Intercontinental Exchange,Financials
IDXX,282.260009765625,-2.869979858398466,-1.0167858566934642,IDEXX Laboratories,Health Care
IEX,161.97999572753906,-10.789993286132812,-6.661312242705751,IDEX Corporation,Industrials
IFF,131.3699951171875,-9.529983520507812,-7.25430758523411,International Flavors & Fragrances,Materials
ILMN,344.5899963378906,26.959991455078182,7.823788195128664,Illumina Inc,Health Care
INCY,81.80999755859375,-9.389991760253906,-11.477804718828686,Incyte,Health Care
INFO,67.52500152587889,2.2900009155273438,3.3913378212212306,IHS Markit Ltd.,Industrials
INTC,48.22000122070313,5.979999542236321,12.401491893096061,Intel Corp.,Information Technology
INTU,259.39999389648443,44.51000976562517,17.1588322331986,Intuit Inc.,Information Technology
IPGP,166.49000549316406,-27.57000732421872,-16.559556979142943,IPG Photonics Corp.,Information Technology
IPG,22.53000068664551,-3.790000915527358,-16.822018641898456,Interpublic Group,Communication Services
IP,47.52999877929688,-9.359996795654304,-19.69281934787537,International Paper,Materials
IQV,141.50999450683594,24.010009765625,16.96700635831425,IQVIA Holdings Inc.,Health Care
IRM,36.38999938964844,-5.670003890991197,-15.58121458117995,Iron Mountain Incorporated,Real Estate
IR,31.729999542236328,-1.979999542236321,-6.240149923736087,Ingersoll Rand,Industrials
ISRG,533.8200073242189,3.6801147460935226,0.6893924348283901,Intuitive Surgical Inc.,Health Care
ITW,152.77000427246094,-4.439987182617216,-2.906321305521878,Illinois Tool Works,Industrials
IT,159.2899932861328,-14.92999267578125,-9.37283778332672,Gartner Inc,Information Technology
IVZ,17.190000534057614,-0.9499988555908168,-5.526462048146163,Invesco Ltd.,Financials
JBHT,101.16999816894531,27.08999633789061,26.776709329037068,J. B. Hunt Transport Services,Industrials
JCI,43.91999816894531,-4.69000244140625,-10.678512379179535,Johnson Controls International,Industrials
JKHY,137.5,9.850006103515653,7.16364080255684,Jack Henry & Associates,Information Technology
JNJ,140.13999938964844,-2.500015258789034,-1.7839412513753015,Johnson & Johnson,Health Care
JNPR,27.36000061035156,-4.040000915527333,-14.766084888166315,Juniper Networks,Information Technology
JPM,105.72000122070312,2.8299942016601705,2.6768768151564997,JPMorgan Chase & Co.,Financials
J,80.98999786376953,3.75,4.63020138154312,Jacobs Engineering Group,Industrials
KEYS,88.5999984741211,19.370002746582017,21.862305959564708,Keysight Technologies,Information Technology
KEY,17.219999313354492,-0.6900005340576172,-4.006971902272414,KeyCorp,Financials
